brand_raw,category_raw,title,size_raw,condition_raw,audience,price,currency,published_at,listing_url,seller_id,visible,season,season_keyword
Zara,Dresses,Vestido punto Zara,M / 38 / 10,Muy bueno,Women,5.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7261831061-vestido-punto-zara,31783904,True,,
Zara,Dresses,Vestido camisero blanco de Zara,XS / 34 / 6,Muy bueno,Women,4.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7256134010-vestido-camisero-blanco-de-zara,21655129,True,,
Zara,Dresses,Vestido estampado Zara,M / 38 / 10,Nuevo con etiquetas,Women,15.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7262297739-vestido-estampado-zara,35622410,True,,
Zara,Dresses,Vestido midi,S / 36 / 8,Satisfactorio,Women,10.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7257483261-vestido-midi,129715669,True,,
Zara,Dresses,Vestido negro lencero zara,S / 36 / 8,Muy bueno,Women,12.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7258970962-vestido-negro-lencero-zara,51838970,True,,
Zara,Dresses,Vestido largo Zara,S / 36 / 8,Muy bueno,Women,4.99,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7259946677-vestido-largo-zara,230081240,True,,
Zara,Dresses,Vestido corto,M / 38 / 10,Nuevo con etiquetas,Women,8.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7261324811-vestido-corto,115549178,True,,
Zara,Dresses,Vestido blanco zara,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7255210869-vestido-blanco-zara,63926508,True,,
Zara,Dresses,Vestido ajustado,S / 36 / 8,Nuevo con etiquetas,Women,10.0,EUR,2025-10-08T01:41:45.882538,https://www.vinted.es/items/7258206717-vestido-ajustado,30261853,True,,
Zara,Dresses,vestido corto blanco de Zara,XS / 34 / 6,Bueno,Women,5.0,EUR,2025-10-08T01:41:45.883532,https://www.vinted.es/items/7258683654-vestido-corto-blanco-de-zara,277853784,True,,
Zara,Dresses,Vestido terciopelo Zara,S / 36 / 8,Muy bueno,Women,5.0,EUR,2025-10-08T01:41:45.883532,https://www.vinted.es/items/7260401444-vestido-terciopelo-zara,243874144,True,,
Zara,Dresses,Vestido Zara Negro,S / 36 / 8,Muy bueno,Women,4.5,EUR,2025-10-08T01:41:45.883532,https://www.vinted.es/items/7255154013-vestido-zara-negro,151949548,True,,
Zara,Dresses,Top peplum palabra de honor,S / 36 / 8,Nuevo con etiquetas,Women,10.0,EUR,2025-10-08T01:41:45.883532,https://www.vinted.es/items/7260641126-top-peplum-palabra-de-honor,24385188,True,,
Zara,Dresses,Vestido midi marrón Zara,M / 38 / 10,Nuevo con etiquetas,Women,8.0,EUR,2025-10-08T01:41:45.883532,https://www.vinted.es/items/7260613335-vestido-midi-marron-zara,232820125,True,,
Zara,Dresses,Solo hoy 18€ Vestido satinado,S / 36 / 8,Nuevo con etiquetas,Women,18.0,EUR,2025-10-08T01:41:45.883532,https://www.vinted.es/items/7260556585-solo-hoy-18eu-vestido-satinado,27940291,True,,
Zara,Dresses,Vestido Zara,S / 36 / 8,Nuevo sin etiquetas,Women,10.0,EUR,2025-10-08T01:41:45.884532,https://www.vinted.es/items/7262135082-vestido-zara,21754869,True,,
Zara,Dresses,Jersey Vestido corto gris oscuro,S / 36 / 8,Muy bueno,Women,6.85,EUR,2025-10-08T01:41:45.884532,https://www.vinted.es/items/7250563791-jersey-vestido-corto-gris-oscuro,69579139,True,,
Zara,Dresses,Vestido midi entallado,S / 36 / 8,Nuevo con etiquetas,Women,15.0,EUR,2025-10-08T01:41:45.884532,https://www.vinted.es/items/7259284375-vestido-midi-entallado,294784136,True,,
